1; 1090.0; 1330.0
2; 1700.0; 1050.0
4; 12810.0; 1210.0
8; 18840.0; 850.0
16; 29310.0; 1160.0
32; 71140.0; 1020.0
64; 83390.0; 1330.0
128; 234180.0; 1030.0
256; 256590.0; 1660.0
512; 1424660.0; 1390.0
1024; 753550.0; 1680.0
2048; 1028440.0; 2350.0
4096; 2695050.0; 1760.0
8192; 1807500.0; 1710.0
16384; 5538820.0; 1890.0
32768; 1.168197E7; 1780.0
65536; 8719920.0; 2050.0
131072; 1.699025E7; 1270.0
262144; 3.644057E7; 2180.0
524288; 6.316194E7; 1930.0
1048576; 1.0065212E8; 1810.0
2097152; 1.8682187E8; 1500.0
4194304; 3.6642172E8; 1810.0
8388608; 7.4418611E8; 15730.0
16777216; 1.55210185E9; 9420.0
33554432; 2.72491677E9; 590.0
67108864; 5.46751682E9; 620.0
